section_number,title,description,chapter,chapter_title,keywords,text_length
198B,Cognizance of offence,"No Court shall take cognizance of an offence punishable under section 376B of the Indian Penal Code where the persons are in a marital relationship, except upon prima facie satisfaction of the facts which constitute the offence upon a complaint having been filed or made by the wife against the husband1. 1 Criminal Law (Amendment) Act, 2013",14,General Provisions as to Inquiries and Trials,"criminal law, cognizance, criminal, court, offence, amendment, indian penal code",341
199,Prosecution for defamation,"No Court shall take cognizance of an offence punishable under Chapter XXI of the Indian Penal Code (45 of 1860) except upon a complaint made by some person aggrieved by the offence; Provided that where such person is under the age of eighteen years, or is an idiot or a lunatic, or is from sickness or infirmity unable to make a complaint, or is a woman who, according to the local customs and manners, ought not to be compelled to appear in public, some other person may, with the leave of the Court...",14,General Provisions as to Inquiries and Trials,"defamation, magistrate, provided, prosecution, court, session, jurisdiction, offence, indian penal code",2434
200,Examination of complainant,"A Magistrate taking cognizance of an offence on complaint shall examine upon oath the complainant and the witnesses present, if any, and the substance of such examination shall be reduced to writing and shall be signed by the complainant and the witnesses, and also by the Magistrate; Provided that, when the complaint is made in writing, the Magistrate need not examine the complainant and the witnesses, if a public servant acting or purporting to act in the discharge of his official duties or a C...",15,Of Bail and Bonds,"magistrate, complainant, provided, examination, court, trial, offence, inquiry",830
201,Procedure by Magistrate not competent to take cognizance of the case,"If the complaint is made to a Magistrate who is not competent to take cognizance of the offence he shall, if the complaint is in writing, return it for presentation to the proper Court with an endorsement to that effect; if the complaint is not in writing, direct the complainant to the proper Court.",15,Of Bail and Bonds,"cognizance, magistrate, procedure, take, court, competent, offence, case",300
202,Postponement of issue of process,"Any Magistrate, on receipt of a complaint of an offence of which he is authorised to take cognizance or which has been made over to him under section 192, may, if he thinks fit and shall in a case where the accused is residing at a place beyond the area in which he exercises his jurisdiction, postpone the issue of process against the accused, and either inquire into the case himself or direct an investigation to be made by a police officer or by such other person as he thinks fit, for the purpos...",15,Of Bail and Bonds,"investigation, magistrate, witness, provided, warrant, evidence, arrest, postponement, court, jurisdiction",1485
203,Dismissal of complaint,"If, after considering the statements on oath (if any) of the complainant and of the witnesses and the result of the inquiry or investigation (if any) under section 202, the Magistrate is of opinion that there is no sufficient ground for proceeding, he shall dismiss the complaint, and in every such case he shall briefly record his reasons for so doing.",15,Of Bail and Bonds,"investigation, magistrate, dismissal, complaint, inquiry",353
204,Issue of process,"If in the opinion of a Magistrate taking cognizance of an offence there is sufficient ground for proceeding, and the case appears to be- a summons-case, he shall issue his summons for the attendance of the accused, or a warrant-case, he may issue a warrant, or, if he thinks fit, a summons, for causing the accused to be brought or to appear at a certain time before such Magistrate or (if he has no jurisdiction himself) some other Magistrate having jurisdiction. No summons or warrant shall be issu...",16,"Of Summons, Warrants and Proclamations","magistrate, warrant, prosecution, jurisdiction, issue, offence, process",1085
205,Magistrate may dispense with personal attendance of accused,"Whenever a Magistrate issues a summons, he may, if he sees reason so to do, dispense with the personal attendance of the accused and permit him to appear by his pleader. But the Magistrate inquiring into or trying the case may, in his discretion, at any stage of the proceedings, direct the personal attendance of the accused, and, if necessary, enforce such attendance in the manner hereinbefore provided.",16,"Of Summons, Warrants and Proclamations","personal, attendance, magistrate, dispense, whenever, accused",406
206,Special summons in cases of petty offence,"If, in the opinion of a Magistrate taking cognizance of a petty offence, the case may be summarily disposed of under section 260 or section 261, the Magistrate shall, except where he is, for reasons to be recorded in writing of a contrary opinion, issue summons to the accused requiring him either to appear in person or by pleader before the Magistrate on a specified date, or if he desires to plead guilty to the charge without appearing before the Magistrate, to transmit before the specified date...",16,"Of Summons, Warrants and Proclamations","magistrate, special, imprisonment, offence, fine, cases, petty, summons",1719
207,Supply to the accused of copy of police report and other documents,"In any case where the proceeding has been instituted on a police report, the Magistrate shall without delay furnish to the accused, free of cost, a copy of each of the following; the police report; the first information report recorded under section 154; the statements recorded under Sub-Section (3) of section 161 of all persons whom the prosecution proposes to examine as its witnesses, excluding therefrom any part in regard to which a request for such exclusion has been made by the police offic...",16,"Of Summons, Warrants and Proclamations","magistrate, copy, report, accused, court, prosecution, documents, supply, police",1346
208,Supply of copies of statements and documents to accused in other cases triable by Court of Session,"Where, in a case instituted otherwise than on a police report, it appears to the Magistrate issuing process under section 204 that the offence is triable exclusively by the Court of Session, the Magistrate shall without delay furnish to the accused, free of cost, a copy of each of the following; the statements recorded under section 200 or section 202, or all persons examined by the Magistrate; the statements and confessions, if any, recorded under section 161 or section 164; any documents produ...",16,"Of Summons, Warrants and Proclamations","statements, magistrate, triable, accused, court, prosecution, documents, session, cases, offence",813
209,Commitment of case to Court of Session when offence is triable exclusively by it,"When in a case instituted on a police report or otherwise, the accused appears or is brought before the Magistrate and it appears to the Magistrate that the offence is triable exclusively by the Court of Session, he shall- commit, after complying with the provisions of section 207 or section 208, as the case may be, the case to the Court of Session, and subject to the provisions of this Code relating to bail, remand the accused to custody until such commitment has been made; subject to the provi...",16,"Of Summons, Warrants and Proclamations","bail, magistrate, triable, exclusively, evidence, commitment, court, custody, session, trial",818
210,Procedure to be followed when there is a complaint case and police investigation in respect of the same offence,"When in a case instituted otherwise than on a police report (hereinafter referred to as a complaint case), it is made to appear to the Magistrate, during the course of the inquiry or trial held by him, that an investigation by the police is in progress in relation to the offence which is the subject-matter of the inquiry or trial held by him, the Magistrate shall stay the proceedings of such inquiry or trial and call for a report on the matter from the police officer conducting the investigation...",16,"Of Summons, Warrants and Proclamations","investigation, magistrate, followed, procedure, respect, complaint, same, offence, trial, inquiry",1153
211,Contents of charge,"Every charge under this Code shall state the offence with which the accused is charged. If the law which creates the offence gives it any specific name, the offence may be described in the charge by that name only. If the law which creates the offence does not give it any specific name so much of the definition of the offence must be stated as to give the accused notice of the matter with which he is charged. The law and section of the law against which the offence is said to have been committed...",17,Of the Processes to Compel the Production of Things,"charge, court, every, contents, sentence, punishment, offence",1319
212,"Particulars as to time, place and person","The charge shall contain such particulars as to the time and place of the alleged offence, and the person (if any) against whom, or the thing (if any) in respect of which, it was committed, as are reasonably sufficient to give the accused notice of the matter with which he is charged. When the accused is charged with criminal breach of trust or dishonest misappropriation of money or other moveable property, it shall be sufficient to specify the gross sum or, as the case may be, described the mov...",17,Of the Processes to Compel the Production of Things,"provided, place, particulars, criminal, person, offence",913
213,When manner of committing offence must be stated,"When the nature of the case is such that the particulars mentioned in sections 211 and 212 do not give the accused sufficient notice of the matter with which he is charged, the charge shall also contain such particulars of the manner is which the alleged offence was committed as will be sufficient for that purpose.",17,Of the Processes to Compel the Production of Things,"manner, committing, stated, offence, must",316
214,Words in charge taken in sense of law under which offence is punishable,"In every charge, words used in describing an offence shall be deemed to have been used in the sense attached to them respectively by the law under which such offence is punishable.",17,Of the Processes to Compel the Production of Things,"sense, taken, words, charge, punishable, offence",180
215,Effect of errors,"No error in stating either the offence or the particulars required to be stated in the charge, and no omission to state the offence or those particulars, shall be regarded at any stage of the case as material, unless the accused was in fact misled by such error or omission, and it has occasioned a failure of justice.",17,Of the Processes to Compel the Production of Things,"offence, effect, errors",318
216,Court may alter charge,"Any Court may alter or add to any charge at any time before judgment is pronounced. Every such alteration or addition shall be read and explained to the accused. If the alteration or addition to a charge is such that proceeding immediately with the trial is not likely, in the opinion of the Court to prejudice the accused in his defence or the prosecutor in the conduct of the case the Court may, in its discretion, after such alteration or addition has been made, proceed with the trial as if the a...",17,Of the Processes to Compel the Production of Things,"alter, defence, charge, court, every, prosecution, offence, trial",1154
217,Recall of witnesses when charge altered,"Whenever a charge is altered or added to by the Court after the commencement of the trial, the prosecutor and the accused shall be allowed- to recall or re-summon, and examine with reference to such alteration or addition, any witness who may have been examined, unless the Court, for reasons to be recorded in writing, considers that the prosecutor or the accused, as the case may be, desires to recall or re-examine such witness for the purpose of vexation or delay or for defeating the ends of jus...",17,Of the Processes to Compel the Production of Things,"altered, witness, recall, whenever, charge, witnesses, court, trial",579
218,Separate charges for distinct offences,"For every distinct offence of which any person is accused there shall be a separate charge and every such charge shall be tried separately; Provided that where the accused person, by an application in writing, so desires and the Magistrate is of opinion that such person is not likely to be prejudiced thereby the Magistrate may try together all or any number of the charges framed against such person. Nothing in Sub-Section (1) shall affect the operation of the provisions of sections 219, 220, 221...",17,Of the Processes to Compel the Production of Things,"separate, magistrate, distinct, provided, charges, nothing, offences, offence",509
219,Three offences of same kind within year may be charged together,"When a person is accused of more offences than one of the same kind committed within the space of twelve months from the first to the last of such offences, whether in respect of the same person or not, he may be charged with, and tried at one trial for, any number of them not exceeding three. Offences are of the same kind when they are punishable with the same amount of punishment under the same section of the Indian Penal Code (45 of 1860) or of any special or local laws; Provided that, for th...",17,Of the Processes to Compel the Production of Things,"within, kind, offence, punishment, provided, charged, together, offences, same, three",939
220,Trial for more than one offence,"If, in one series of acts so connected together as to form the same transaction, more offences than one are committed by the same person, he may be charged with, and tried at one trial for, every such offence. When a person charged with one or more offences of criminal breach of trust or dishonest misappropriation of property as provided in Sub-Section (2) of section 212 or in Sub-Section (1) of section 219, is accused of committing, for the purpose of facilitating or concealing the commission o...",17,Of the Processes to Compel the Production of Things,"more, criminal, nothing, offence, trial, indian penal code",1364
221,Where it is doubtful what offence has been committed,"If a single act or series of acts is of such a nature that it is doubtful which of several offences the facts which can be proved will constitute, the accused may be charged with having committed all or any of such offences, and any number of such charges may be tried at once; or he may be charged in the alternative with having committed some one of the said offences. If in such a case the accused is charged with one offence, and it appears in evidence that he committed a different offence for w...",17,Of the Processes to Compel the Production of Things,"doubtful, evidence, committed, what, offence",681
222,When offence proved included in offence charged,"When a person is charged with an offence consisting of several particulars, a combination of some only of which constitutes a complete minor offence, and such combination is proved, but the remaining particulars are not proved, he may be convicted of the minor offence, though he was not charged with it. When a person is charged with an offence and facts are proved which reduce it to a minor offence, he may he convicted of the minor offence, although he is not charged with it. When a person is ch...",17,Of the Processes to Compel the Production of Things,"proved, charged, included, nothing, offence",837
223,What persons may be charged jointly,"The following persons may be charged and tried together, namely; persons accused of the same offence committed in the course of the same transaction; persons accused of an offence and persons accused of abetment of, or attempt to commit, such offence; persons accused of more than one offence of the same kind, within the meaning of section 219 committed by them jointly within the period of twelve months; persons accused of different offences committed in the course of the same transaction; person...",17,Of the Processes to Compel the Production of Things,"magistrate, charged, sessions, jointly, criminal, court, what, offence, indian penal code, persons",1885
224,Withdrawal of remaining charges on conviction on one of several charges,"When a charge containing more heads than one is framed against the same person, and when a conviction has been had on one or more of them, the complainant, or the officer conducting the prosecution, may, with the consent, of the Court, withdraw the remaining charge or charges, or the Court of its own accord may stay the inquiry into, or trial of, such charge or charges and such withdrawal shall have the effect of an acquittal on such charge or charges, unless the conviction be set aside, in whic...",17,Of the Processes to Compel the Production of Things,"withdrawal, remaining, charges, prosecution, conviction, court, several, trial, inquiry",670
225,Trial to be conducted by Public Prosecutor,"In every trial before a Court of Session, the prosecution shall be conducted by a Public Prosecutor.",18,Of Search-warrants,"public prosecutor, conducted, public, prosecution, court, prosecutor, session, trial",100
226,Opening case for prosecution,"When the Accused appears or is brought before the Court in pursuance of a commitment of the case under section 209, the prosecutor shall open his case by describing the charge brought against the accused and stating by what evidence he proposes to prove the guilt of the accused.",18,Of Search-warrants,"opening, evidence, prosecution, accused, court, case",279
227,Discharge,"If, upon consideration of the record of the case and the documents submitted therewith, and after hearing the submissions of the accused and the prosecution in this behalf, the Judge considers that there is not sufficient ground for proceeding against the accused, he shall discharge the accused and record his reasons for so doing.",18,Of Search-warrants,"discharge, judge, prosecution",332
228,Framing of charge,"If, after such consideration and hearing as aforesaid, the Judge is of opinion that there is ground for presuming that the accused has committed an offence which- is not exclusively triable by the Court of Session, he may, frame a charge against the accused and, by order, transfer the case for trial to the Chief Judicial Magistrate or any other Judicial Magistrate of the first class and direct the accused to appear before the Chief Judicial Magistrate, or, as the case may be, the Judicial Magist...",18,Of Search-warrants,"offence, chief judicial magistrate, magistrate, warrant, procedure, judicial magistrate, charge, court, session, framing",1021
229,Conviction on plea of guilty,"If the accused pleads guilty, the Judge shall record the plea and may, in his discretion, convict him thereon.",18,Of Search-warrants,"plea, judge, conviction, guilty",110
230,Date for prosecution evidence,"If the accused refuses to plead, or does not plead, or claims to be tried or is not convicted under section 229, the Judge shall fix a date for the examination of witnesses, and may, on the application of the prosecution, issue any process for compelling the attendance of any witness or the production of any document or other thing.",18,Of Search-warrants,"witness, evidence, prosecution, date, judge",334
231,Evidence for prosecution,"On the date so fixed, the Judge shall proceed to take all such evidence as may be produced in support of the prosecution. The Judge may, in his discretion, permit the cross-examination of any witness to be deferred until any other witness or witnesses have been examined or recall any witness for further cross-examination.",18,Of Search-warrants,"witness, evidence, prosecution, judge",323
232,Acquittal,"If after taking the evidence for the prosecution, examining the accused and hearing the prosecution and the defence on the point, the Judge considers that there is no evidence that the accused committed the offence, the judge shall record an order of acquittal.",18,Of Search-warrants,"evidence, acquittal, defence, prosecution, offence, judge",261
233,Entering upon defence,"Where the accused is not acquitted under section 232 he shall be called upon to enter on his defence and adduce any evidence he may have in support thereof. If the accused puts in any written statement, the Judge shall file it with the record. If the accused applies for the issue of any process for compelling the attendance of any witness or the production of any document or thing, the Judge shall issue such process unless he considers, for reasons to be recorded, that such application should be...",18,Of Search-warrants,"upon, witness, evidence, defence, entering, judge",613
234,Arguments,"When the examination of the witnesses (if any) for the defence is complete, the prosecutor shall sum up his case and the accused or his pleader shall be entitled to reply; Provided that where any point of law is raised by the accused or his pleader, the prosecution may, with the permission of the Judge, make his submissions with regard to such point of law.",18,Of Search-warrants,"provided, arguments, defence, prosecution, judge",359
235,Judgment of acquittal or conviction,"After hearing arguments and points of law (if any), the Judge shall give a judgment in the case. If the accused is convicted, the Judge shall, unless he proceeds in accordance with the provisions of section 360 hear the accused on the question of sentence, and then pass sentence on him according to law.",18,Of Search-warrants,"judgment, after, acquittal, conviction, sentence, judge",304
236,Previous conviction,"In a case where a previous conviction is charged under the provisions of Sub-Section (7) of section 211, and the accused does not admit that he has been previously convicted as alleged in the charge, the Judge may, after he has convicted the said accused under section 229 or section 235, take evidence in respect of the alleged previous conviction, and shall record a finding thereon; Provided that no such charge shall be read out by the Judge nor shall the accused be asked to plead thereto nor sh...",18,Of Search-warrants,"provided, evidence, previous, prosecution, conviction, judge",677
237,Procedure in cases instituted under section 199(2),"A Court of Session taking cognizance of an offence under Sub-Section (2) of section 199 shall try the case in accordance with the procedure for the trial of warrant-cases instituted otherwise than on a police report before a Court of Magistrate; Provided that the person against whom the offence is alleged to have been committed shall, unless the Court of Session, for reasons to be recorded, otherwise directs, be examined as a witness for the prosecution. Every trial under this section shall be h...",18,Of Search-warrants,"magistrate, witness, warrant, criminal, procedure, prosecution, court, session, instituted, fine",2464
238,Compliance with section 207,"When in any warrant-case instituted on a police report, the accused appears or is brought before a Magistrate at the commencement of the trial, the Magistrate shall satisfy himself that he has complied with the provisions of section 207.",19,Of Arrest of Persons,"magistrate, compliance, warrant, trial",237
239,When accused shall be discharged,"If, upon considering the police report and the documents sent with it under section 173 and making such examination, if any, of the accused as the Magistrate thinks necessary and after giving the prosecution and the accused an opportunity of being heard, the Magistrate considers the charge against the accused to be groundless, he shall discharge the accused, and record his reasons for so doing.",19,Of Arrest of Persons,"magistrate, accused, discharged, prosecution",397
240,Framing of charge,"If, upon such consideration examination, if any, and hearing, the Magistrate is of opinion that there is ground for presuming that the accused has committed an offence triable under this Chapter, which such Magistrate is competent to try and which, in his opinion could be adequately punished by him, he shall frame in writing a charge against the accused. The charge shall then be read and explained to the accused, and he shall be asked whether he pleads guilty of the offence charged or claims to ...",19,Of Arrest of Persons,"magistrate, charge, offence, framing",509
241,Conviction on plea of guilty,"If the accused pleads guilty, the Magistrate shall record the plea and may, in his discretion, convict him thereon.",19,Of Arrest of Persons,"plea, conviction, magistrate, guilty",115
242,Evidence for prosecution,"If the accused refuses to plead or does not plead, or claims to be tried or the Magistrate does not convict the accused under section 241 the Magistrate shall fix a date for the examination of witnesses. The Magistrate may, on the application of the prosecution, issue a summons to any of its witnesses directing him to attend or to produce any document or other thing, On the date so fixed, the Magistrate shall proceed to take all such evidence as may be produced in support of the prosecution; Pro...",19,Of Arrest of Persons,"magistrate, witness, provided, evidence, prosecution",697
243,Evidence for defence,"The accused shall then be called upon to enter upon his defence and produce his evidence; and if the accused puts in any written statement, the Magistrate shall file it with the record. If the accused, after he had entered upon his defence, applies to the Magistrate to issue any process for compelling the attendance of any witness for the purpose of examination or cross-examination, or the production of any document or other thing, the Magistrate shall issue such process unless he considers that...",19,Of Arrest of Persons,"magistrate, witness, provided, evidence, defence, court, trial",1201
244,Evidence for prosecution,"When, in any warrant-case instituted otherwise than on a police report the accused appears or is brought before a Magistrate, the Magistrate shall proceed to hear the prosecution and take all such evidence as may be produced in support of the prosecution. The Magistrate may, on the application of the prosecution, issue a summons to any of its witnesses directing him to attend or to produce any document or other thing.",19,Of Arrest of Persons,"magistrate, warrant, evidence, prosecution",421
245,When accused shall be discharged,"If, upon taking all the evidence referred to in section 244 the Magistrate considers, for reasons to be recorded, that no case against the accused has been made out which, if unrebutted, would warrant his conviction, the Magistrate shall discharge him. Nothing in this section shall be deemed to prevent a Magistrate from discharging the accused at any previous stage of the case if, for reasons to be recorded by such Magistrate, he considers the charge to be groundless.",19,Of Arrest of Persons,"magistrate, warrant, evidence, nothing, accused, discharged",472
246,Procedure where accused is not discharged,"If, when such evidence has been taken, or at any previous stage of the case, the Magistrate is of opinion that there is ground for presuming that the accused has committed an offence triable under this Chapter, which such Magistrate is competent to try and which, in his opinion, could be adequately punished by him, he shall frame in writing a charge against the accused. The charge shall then be read and explained to the accused, and he shall be asked whether he pleads guilty or has any defence t...",19,Of Arrest of Persons,"magistrate, evidence, procedure, defence, accused, prosecution, discharged, offence",1373
247,Evidence for defence,The accused shall then be called upon to enter upon his defence and produce his evidence; and the provisions of section 243 shall apply to the case.,19,Of Arrest of Persons,"evidence, defence",148
248,Acquittal or conviction,"If, in any case under this Chapter in which a charge has been framed, the Magistrate finds the accused not guilty, he shall record an order of acquittal. Where, in any case under this Chapter, the Magistrate finds the accused guilty, but does not proceed in accordance with the provisions of section 325 or section 360, he shall, after hearing the accused on the question of sentence, pass sentence upon him according to law. Where, in any case under this Chapter, a previous conviction is charged un...",19,Of Arrest of Persons,"magistrate, evidence, acquittal, prosecution, conviction, sentence",1091
249,Absence of complainant,"When the proceedings have been instituted upon complaint, and on any day fixed for the hearing of the case, the complainant is absent, and the offence may be lawfully compounded or is not a cognizable offence, the Magistrate may, in his discretion, notwithstanding anything hereinbefore contained, at any time before the charge has been framed, discharge the accused.",19,Of Arrest of Persons,"magistrate, complainant, offence, absence",367
250,Compensation for accusation without reasonable cause,"If, in any case instituted upon complaint or upon information given to a police officer or to a Magistrate, one or more persons is or are accused before a Magistrate of any offence triable by a Magistrate, and the Magistrate by whom the case is heard discharges or acquits all or any of the accused, and is of opinion that there was no reasonable ground for making the accusation against them or any of them, the Magistrate may, by his order of discharge or acquittal, if the person upon whose compla...",19,Of Arrest of Persons,"reasonable, magistrate, fine, warrant, criminal, imprisonment, without, accusation, offence, cause",2909
251,Substance of accusation to be stated,"When in a summons-case the accused appears or is brought before the Magistrate, the particulars of the offence of which he is accused shall be stated to him, and he shall be asked whether he pleads guilty or has any defence to make, but it shall not be necessary to frame a formal charge.",20,Of Public Prosecutors,"magistrate, substance, defence, stated, accusation, offence",288
252,Conviction on plea of guilty,"If the accused pleads guilty, the Magistrate shall record the plea as nearly as possible in the words used by the accused and may, in his discretion convict him thereon.",20,Of Public Prosecutors,"plea, conviction, magistrate, guilty",169
253,Conviction on plea of guilty in absence of accused in petty cases,"Where a summons has been issued under section 206 and the accused desires to plead guilty to the charge without appearing before the Magistrate, he shall transmit to the Magistrate, by post or by messenger, a letter containing his plea and also the amount of fine specified in the summons. The Magistrate may, in his discretion, convict the accused in his absence, on his plea of guilty and sentence him to pay the fine specified in the summons, and the amount transmitted by the accused shall be adj...",20,Of Public Prosecutors,"magistrate, fine, sentence, accused, conviction, plea, cases, petty, guilty, absence",808
254,Procedure when not convicted,"If the Magistrate does not convict the accused under section 252 or section 253, the Magistrate shall proceed to hear the prosecution and take all such evidence as may be produced in support of the prosecution, and also to hear the accused and take all such evidence as he produces in his defence. The Magistrate may, if he thinks fit, on the application of the prosecution or the accused, issue a summons to any witness directing him to attend or to produce any document or other thing. A Magistrate...",20,Of Public Prosecutors,"magistrate, witness, evidence, convicted, procedure, defence, prosecution, court, trial",682
255,Acquittal or conviction,"If the Magistrate, upon taking the evidence referred to in section 254 and such further evidence, if any, as he may, of his own motion, cause to be produced, finds the accused not guilt, he shall record an order of acquittal. Where the Magistrate does not proceed in accordance with the provisions of section 325 or section 360, he shall, if he finds the accused guilty, pass sentence upon him according to law. A Magistrate may, under section 252 or section 255, convict the accused of any offence t...",20,Of Public Prosecutors,"magistrate, evidence, acquittal, conviction, offence, sentence",732
256,Non-appearance or death of complainant,"If the summons has been issued on complaint and on the day appointed for the appearance of the accused, or any day subsequent thereto to which the hearing may be adjourned, the complainant does not appear, the Magistrate shall notwithstanding anything hereinbefore contained, acquit the accused unless for some reason he thinks it proper to adjourn the hearing of the case to some other day; Provided that where the complainant is represented by a pleader or by the officer conducting the prosecution...",20,Of Public Prosecutors,"magistrate, complainant, provided, prosecution, death, appearance",823
257,Withdrawal of complaint,"If a complainant, at any time before a final order is passed in any case under this Chapter, satisfies the Magistrate that there are sufficient grounds for permitting him to withdraw his complaint against the accused, or if there be more than one accused, against all or any of them, the Magistrate may permit him to withdraw the same, and shall thereupon acquit the accused against whom the complaint is so withdrawn.",20,Of Public Prosecutors,"withdrawal, magistrate, complaint",418
258,Power to stop proceedings in certain cases,"In any summons-case instituted otherwise than upon complaint, a Magistrate of the first class or, with the previous sanction of the Chief Judicial Magistrate, any other Judicial Magistrate, may, for reasons to be recorded by him, stop the proceedings at any stage without pronouncing any judgment and where such stoppage of proceedings is made after the evidence of the principal witnesses has been recorded, pronounce a judgment of acquittal, and in any other case release, the accused, and such rel...",20,Of Public Prosecutors,"magistrate, chief judicial magistrate, power, certain, evidence, proceedings, judicial magistrate, cases, stop",540
259,Power of Court to convert summons-cases into warrant cases,"When in the course of the trial of a summons-case relating to an offence punishable with imprisonment for a term exceeding six months, it appears to the Magistrate that in the interests of justice, the offence should be tried in accordance with the procedure for the trial of warrant-cases, such Magistrate may proceed to re-hear the case in the manner provided by this Code for the trial of warrant-cases and may recall any witness who may have been examined.",20,Of Public Prosecutors,"magistrate, convert, witness, power, warrant, into, imprisonment, procedure, court, offence",460
260,Power to try summarily,"Notwithstanding anything contained in this Code- any Chief Judicial Magistrate; any Metropolitan Magistrate; any Magistrate of the first class specially empowered in this behalf by the High Court, may, if he thinks fit, try in a summary way all or any of the following offences; offences not punishable with death, imprisonment for life or imprisonment for a term exceeding two years; theft, under section 379, section 380 or section 381 of the Indian Penal Code (45 of 1860), where the value of the ...",21,The Inquiry,"chief judicial magistrate, magistrate, power, criminal, metropolitan magistrate, imprisonment, court, summarily, offence, fine",1786
261,Summary trial by Magistrate of the second class,"The High Court may confer on any Magistrate invested with the powers of a Magistrate of the second class power to try summarily any offence which is punishable only with fine or with imprisonment for a term not exceeding six months with or without fine, and any abetment of or attempt to commit any such offence.",21,The Inquiry,"magistrate, imprisonment, second, court, offence, fine, trial, class, summary, high court",312
262,Procedure for summary trials,"In trial under this Chapter, the procedure specified in this Code for the trial of summons-case shall be followed except as hereinafter mentioned. No sentence of imprisonment for a term exceeding three months shall be passed in the case of any conviction under this Chapter.",21,The Inquiry,"imprisonment, procedure, trial, sentence, trials, summary",274
263,Record in summary trials,"In every case tried summarily, the Magistrate shall enter, in such form as the Stale Government may direct, the following particulars, namely- the serial number of the case; the date of the commission of the offence; the date of the report of complaint; the name of the complainant (if any); the name, parentage and residence of the accused; the offence complained of and the offence (if any) proved, and in cases coming under clause (ii), clause (iii) or clause (iv) of Sub-Section (1) of section 26...",21,The Inquiry,"magistrate, stale government, record, offence, sentence, trials, summary",724
264,Judgment in cases tried summarily,"In every case tried summarily in which the accused does not plead guilty, the Magistrate shall record the substance of the evidence and a judgment containing a brief statement of the reasons for the finding.",21,The Inquiry,"judgment, magistrate, evidence, summarily, cases, tried",207
265A,Application of the Chapter,"This Chapter shall apply in respect of an accused against whom- the report has been forwarded by the officer in charge of the police station under section 173 alleging therein that an offence appears to have been committed by him other than an offence for which the punishment of death or of imprisonment for life or of imprisonment for a term exceeding seven years has been provided under the law for the time being in force; or a Magistrate has taken cognizance of an offence on complaint, other th...",21,The Inquiry,"punishment, magistrate, application, this chapter, imprisonment, offence, central government",1197
265B,Application for plea bargaining,"A person accused of an offence may file an application for plea bargaining in the Court in which such offence is pending for trial. The application under Sub-Section (1) shall contain a brief description of the case relating to which the application is filed including the offence to which the case relates and shall be accompanied by an affidavit sworn by the accused stating therein that he has voluntarily preferred, after understanding the nature and extent of punishment provided under the law f...",21,The Inquiry,"punishment, after, application, plea, court, offence, trial, bargaining",1979
265C,Guidelines for mutually satisfactory disposition,"In working out a mutually satisfactory disposition under clause (a) of Sub-Section (4) of section 265B, the Court shall follow the following procedure, namely; in a case instituted on a police report, the Court shall issue notice to the Public Prosecutor, the police officer who has investigated the case, the accused and the victim of the case to participate in the meeting to work out a satisfactory disposition of the case; Provided that throughout such process of working out a satisfactory dispo...",21,The Inquiry,"guidelines, public prosecutor, mutually, provided, disposition, satisfactory, procedure, court",1379
265D,Report of the mutually satisfactory disposition to be submitted before the Court,"Where in a meeting under section 265C, a satisfactory disposition of the case has been worked out, the Court shall prepare a report of such disposition which shall be signed by the presiding officer of the Court and all other persons who participated in the meeting and if no such disposition has been worked out, the Court shall record such observation and proceed further in accordance with the provisions of this Code from the stage the application under Sub-Section (1) of section 265B has been f...",21,The Inquiry,"submitted, before, mutually, disposition, report, satisfactory, court",518
265E,Disposal of the case,"Where a satisfactory disposition of the case has been worked out under section 265D, the Court shall dispose of the case in the following manner, namely; the Court shall award the compensation to the victim in accordance with the disposition under section 265D and hear the parties on the quantum of the punishment, releasing of the accused on probation of good conduct or after admonition under section 360 or for dealing with the accused under the provisions of the Probation of Offenders Act, 1958...",21,The Inquiry,"probation, procedure, court, disposal, offenders act, offence, sentence, punishment, case",1521
265F,Judgment of the Court,The Court shall deliver its judgment in terms of section 265E in the open Court and the same shall be signed by the presiding officer of the Court.,21,The Inquiry,"judgment, court",147
265G,Finality of the judgment,The judgment delivered by the Court under section 265G shall be final and no appeal (except the special leave petition under article 136 and writ petition under articles 226 and 227 of the Constitution) shall lie in any Court against such judgment.,21,The Inquiry,"judgment, constitution, court, finality, appeal",248
265H,Power of the Court in plea bargaining,"A Court shall have, for the purposes of discharging its functions under this Chapter, all the powers vested in respect of bail, trial of offences and other matters relating to the disposal of a case in such Court under this Code.",21,The Inquiry,"bail, power, court, plea, trial, bargaining",229
265I,Period of detention undergone by the accused to be set off against the sentence of imprisonment,"The provisions of section 428 shall apply, for setting off the period of detention undergone by the accused against the sentence of imprisonment imposed under this Chapter, in the same manner as they apply in respect of the imprisonment under other provisions of this Code.",21,The Inquiry,"detention, against, imprisonment, undergone, accused, period, sentence",273
265J,Savings,The provisions of this Chapter shall have effect notwithstanding anything inconsistent therewith contained in any other provisions of this Code and nothing in such other provisions shall be construed to constrain the meaning of any provision of this Chapter.,21,The Inquiry,savings,258
265K,Statements of accused not to be used,"Notwithstanding anything contained in any law for the time being in force, the statements or facts stated by an accused in an application for plea bargaining filed under section 265B shall not be used for any other purpose except for the purpose of this Chapter.",21,The Inquiry,"statements, accused, notwithstanding, used",262
265L,Non-application of the Chapter,"Nothing in this Chapter shall apply to any juvenile or child as defined in clause (k) of section 2 of the Juvenile Justice (Care and Protection of Children) Act, 2000 (56 of 2000).”",21,The Inquiry,"juvenile justice, application, protection, nothing, care",181
