Article_Number,Title,Content,Section,Word_Count,Clause_Count,Keywords,Themes,Has_Amendments,Amendment_Count
243B,Constitution of Panchayats,"243B. Constitution of Panchayats (1) There shall be constituted in every State, Panchayats at the village, intermediate and district levels in accordance with the provisions of this Part (2) Notwithstanding anything in clause (1) , Panchayats at the intermediate level may not be constituted in a State having a population not exceeding twenty lakhs",Unknown,54,0,"panchayats, constituted, intermediate, 243b, there, every, village, district, levels, accordance",federal_structure,False,0
243C,Composition of Panchayats,"243C. Composition of Panchayats (1) Subject to the provisions of this Part, the Legislature of a State may, by law, make provisions with respect to the composition of Panchayts: Provided that the ratio between the population of the territorial area of a Panchayat at any level and the number of seats in such Panchayat to be filled by election shall, so far as practicable, be the same throughout the State, (2) All the seats in a Panchayat shall be filled by persons chosen by direct election from t...",Unknown,389,9,"panchayat, level, panchayats, area, intermediate, members, district, territorial, constituencies, legislature","fundamental_rights, federal_structure, governance",False,0
243D,Reservation of seats,"243D. Reservation of seats (1) Seats shall be reserved for (a) the Scheduled Castes; and (b) the Scheduled Tribes, in every Panchayat and the number of seats so reserved shall bear, as nearly as may be, the same proportion to the, total number of seats to be filled by direct election in that Panchayat as the population of the Scheduled Castes in that Panchayat area or of the Scheduled Tribes in that Panchayat area bears to the total population of that area and such seats may be allotted by rotat...",Unknown,434,3,"scheduled, seats, reserved, number, panchayat, castes, tribes, total, offices, women",federal_structure,False,0
243E,"Duration of Panchayats, etc","243E. Duration of Panchayats, etc (1) Every Panchayat, unless sooner dissolved under any law for the time being in force, shall continue for five years from the date appointed for its first meeting and no longer (2) No amendment of any law for the time being in force shall have the effect of causing dissolution of a Panchayat at any level, which is functioning immediately before such amendment, till the expiration of its duration specified in clause (1) (3) An election to constitute a Panchayat ...",Unknown,195,0,"panchayat, duration, dissolved, clause, dissolution, expiration, period, time, being, force",amendment,False,0
243F,Disqualifications for membership,"243F. Disqualifications for membership (1) A person shall be disqualified for being chosen as, and for being, a member of a Panchayat (a) if he is so disqualified by or under any law for the time being in force for the purposes of elections to the Legislature of the State concerned: Provided that no person shall be disqualified on the ground that be is less than twenty five years of age, if he has attained the age of twenty one years; (b) if he is so disqualified by or under any law made by the ...",Unknown,150,1,"disqualified, being, legislature, disqualifications, person, member, panchayat, twenty, years, question",federal_structure,False,0
243G,"Powers, authority and responsibilities of Panchayats Subject to the provisions of this Constitution the Legislature of a State may, by law, endow the Panchayats with such powers and authority and may be necessary to enable them to function as institutions of self government and such law may contain provisions for the devolution of powers and responsibilities upon Panchayats, at the appropriate level, subject to such conditions as may be specified therein, with respect to","243G. Powers, authority and responsibilities of Panchayats Subject to the provisions of this Constitution the Legislature of a State may, by law, endow the Panchayats with such powers and authority and may be necessary to enable them to function as institutions of self government and such law may contain provisions for the devolution of powers and responsibilities upon Panchayats, at the appropriate level, subject to such conditions as may be specified therein, with respect to (a) the preparatio...",Unknown,115,1,"powers, panchayats, authority, responsibilities, subject, provisions, economic, development, social, justice","directive_principles, federal_structure",False,0
243H,"Powers to impose taxes by, and funds of, the Panchayats The Legislature of a State may, by law,","243H. Powers to impose taxes by, and funds of, the Panchayats The Legislature of a State may, by law, (a) authorise a Panchayat to levy, collect and appropriate such taxes, duties, tolls and fees in accordance with such procedure and subject to such limits; (b) assign to a Panchayat such taxes, duties, tolls and fees levied and collected by the State Government for such purposes and subject to such conditions and limits; (c) provide for making such grants in aid to the Panchayats from the Consol...",Unknown,127,3,"taxes, panchayats, funds, panchayat, duties, tolls, fees, subject, limits, provide",federal_structure,False,0
243I,Constitution of finance Commissions to review financial position,"243I. Constitution of finance Commissions to review financial position (1) The Governor of a State shall, as soon as may be within one year from the commencement of the Constitution (Seventy third Amendment) Act, 1992, and thereafter at the expiration of every fifth year, constitute a Finance Commission to review the financial position of the Panchayats and to make recommendations to the Governor as to (a) the principles which should govern (i) the distribution between the State and the Panchaya...",Unknown,288,7,"panchayats, commission, finance, governor, financial, position, between, legislature, review, year","directive_principles, federal_structure, governance, amendment, emergency",False,0
243J,"Audit of accounts of Panchayats The Legislature of a State may, by law, make provisions with respect to the maintenance of accounts by the Panchayats","243J. Audit of accounts of Panchayats The Legislature of a State may, by law, make provisions with respect to the maintenance of accounts by the Panchayats and the auditing of such accounts",Unknown,32,0,"accounts, panchayats, 243j, audit, legislature, make, provisions, respect, maintenance, auditing",federal_structure,False,0
243K,"Elections to the Panchayats The superintendence, direction and control of the preparation of electoral rolls for, and the conduct of, all elections to the Panchayats shall be vested in a State Election Commission consisting of a State Election Commissioner to be appointed by the Governor","243K. Elections to the Panchayats The superintendence, direction and control of the preparation of electoral rolls for, and the conduct of, all elections to the Panchayats shall be vested in a State Election Commission consisting of a State Election Commissioner to be appointed by the Governor (2) Subject to the provisions of any law made by the Legislature of a State the conditions of service and tenure of office of the State Election Commissioner shall be such as the Governor may by rule deter...",Unknown,209,1,"election, commission, commissioner, elections, panchayats, governor, subject, provisions, legislature, conditions","federal_structure, governance",False,0
243L,"Application to Union territories The provisions of this Part shall apply to the Union territories and shall, in their application to a Union territory, have effect as if the references to the Governor of a State were references to the Administrator of the Union territory appointed under 239 and references to the Legislature or the Legislative Assembly of a State were references, in relation to a Union territory having a Legislative Assembly, to that Legislative Assembly","243L. Application to Union territories The provisions of this Part shall apply to the Union territories and shall, in their application to a Union territory, have effect as if the references to the Governor of a State were references to the Administrator of the Union territory appointed under 239 and references to the Legislature or the Legislative Assembly of a State were references, in relation to a Union territory having a Legislative Assembly, to that Legislative Assembly: Provided that the ...",Unknown,114,0,"territory, references, part, legislative, assembly, application, territories, provisions, apply, notification","federal_structure, governance",False,0
243M,Part not to apply to certain areas,"243M. Part not to apply to certain areas (1) Nothing in this Part shall apply to the Scheduled Areas referred to in clause (1) , and the tribal areas referred to in clause (2) , of article 244 (2) Nothing in this Part shall apply to (a) the States of Nagaland, Meghalaya and Mizoram; (b) the Hill areas in the State of Manipur for which District Councils exist under any law for the time being in force (3) Nothing in this Part (a) relating to Panchayats at the district level shall apply to the Hill...",Unknown,283,3,"areas, part, clause, referred, apply, hill, nothing, district, darjeeling, scheduled","federal_structure, governance, amendment",False,0
243N,"Continuance of existing laws and Panchayats Notwithstanding anything in this Part, any provision of any law relating to Panchayats in force in a State immediately before commencement of the Constitution","243N. Continuance of existing laws and Panchayats Notwithstanding anything in this Part, any provision of any law relating to Panchayats in force in a State immediately before commencement of the Constitution (Seventy third Amendment) Act, 1992, which is inconsistent with the provisions of this part, shall continue to be in force until amended or repealed by a competent Legislature other competent authority or until the expiration of one year from such commencement whichever is earlier: Provided...",Unknown,130,0,"panchayats, commencement, existing, part, force, immediately, continue, competent, legislature, expiration","federal_structure, governance, amendment",False,0
243O,Bar to interference by courts in electoral matters Notwithstanding anything in this Constitution,"243O. Bar to interference by courts in electoral matters Notwithstanding anything in this Constitution (a) the validity of any law relating to the delimitation of constituencies or the allotment of seats to such constituencies made or purporting to be made under article 243K, shall not be called in question in any court; (b) no election to any Panchayat shall be called in question except by an election petition presented to such authority and in such manner as is provided for by or under any Law...",Unknown,97,1,"made, constituencies, called, question, election, 243o, interference, courts, electoral, matters",federal_structure,False,0
243P,"Definitions In this Part, unless the context otherwise requires,","243P. Definitions In this Part, unless the context otherwise requires, (a) Committee means a Committee constituted under article 243S; (b) district means a district in a State; (c) Metropolitan area means an area having a population of ten lakhs or more, comprised in one or more districts and consisting of two or more Municipalities or Panchayats or other contiguous areas, specified by the Governor by public notification to be Metropolitan area for the purposes of this Part; (d) Municipal area m...",Unknown,134,6,"means, area, constituted, population, more, part, committee, district, metropolitan, governor","federal_structure, governance",False,0
243Q,Constitution of Municipalities,"243Q. Constitution of Municipalities (1) There shall be constituted in every State, (a) a Nagar Panchayat (by whatever name called) for a transitional area, that is to say, an area in transition from a rural area to an urban area (b) a Municipal Council for a smaller urban area; and (c) a Municipal Corporation for a larger urban area, in accordance with the provisions of this Part: Provided that a Municipality under this clause may not be constituted in such urban area or part thereof as the Gov...",Unknown,206,2,"area, urban, municipal, part, provided, constituted, transitional, smaller, larger, governor","directive_principles, federal_structure, governance",False,0
243R,Composition of Municipalities,"243R. Composition of Municipalities (1) Save as provided in clause (2) , all the seats in a Municipality shall be filled by persons chosen by direct election from the territorial constituencies in the Municipal area and for this purpose each Municipal area shall be divided into territorial constituencies to be known as wards (2) The Legislature of a State may, by law, provide (a) for the representation in a Municipality of (i) persons having special knowledge or experience in Municipal administr...",Unknown,180,6,"municipal, municipality, area, members, persons, constituencies, provided, clause, election, territorial","fundamental_rights, federal_structure, governance",False,0
243S,"Constitution and composition of wards Committees, etc","243S. Constitution and composition of wards Committees, etc (1) There shall be constituted Wards Committees, consisting of one or more Wards, within the territorial area of a Municipality having a population of three lakhs or more (2) The Legislature of a State may, by law, make provision with respect to (a) the composition and the territorial area of a Wards Committee; (b) the manner in which the seats in a Wards Committee shall be filled (3) A member of a Municipality representing a ward withi...",Unknown,178,4,"wards, committee, committees, municipality, more, territorial, area, member, representing, ward",federal_structure,False,0
243T,Reservation of seats,"243T. Reservation of seats (1) Seats shall be reserved for the Scheduled Castes and the Scheduled Tribes in every Municipality and the number of seats so reserved shall bear, as nearly as may be, the same proportion to the total number of seats to be filled by direct election in that Municipality as the population of the Scheduled Castes in the Municipal area or of the Scheduled Tribes in the Municipal area bears to the total population of that area and such seats may be allotted by rotation to ...",Unknown,297,2,"seats, scheduled, reserved, municipality, reservation, castes, tribes, number, women, total",federal_structure,False,0
243U,"Duration of Municipalities, etc","243U. Duration of Municipalities, etc (1) Every Municipality, unless sooner dissolved under any law for the time being in force, shall continue for five years from the date appointed for its first meeting and no longer: Provided that a Municipality shall be given a reasonable opportunity of being heard before its dissolution (2) No amendment of any law for the time being in force shall have the effect of causing dissolution of a Municipality at any level, which is functioning immediately before ...",Unknown,214,0,"municipality, duration, dissolved, dissolution, clause, period, being, expiration, time, force",amendment,False,0
243V,Disqualifications for membership,"243V. Disqualifications for membership (1) A person shall be disqualified for being chosen as, and for being a member of a Municipality (a) if he is so disqualified by or under any law for the time being in force for the purposes of elections to the Legislature of the State concerned: Provided that no person shall be disqualified on the ground that he is less than twenty five years of age, if he has attained the age, of twenty one years; (b) if he is so disqualified by or under any law made by t...",Unknown,150,1,"disqualified, being, legislature, disqualifications, person, member, municipality, twenty, years, question",federal_structure,False,0
243W,"Powers, authority and responsibilities of Municipalities, etc Subject to the provisions of this Constitution, the Legislature of a State may, by law, endow","243W. Powers, authority and responsibilities of Municipalities, etc Subject to the provisions of this Constitution, the Legislature of a State may, by law, endow (a) the Municipalities with such powers and authority as may be necessary to enable them to function as institutions of self government and such law may contain provisions for the devolution of powers and responsibilities upon Municipalities, subject to such conditions as may be specified therein, with respect to (i) the preparation of ...",Unknown,147,2,"powers, authority, responsibilities, municipalities, subject, provisions, necessary, enable, upon, including","directive_principles, federal_structure",False,0
243X,"Power to impose taxes by, and funds, of, the Municipalities The Legislature of a State may, by law","243X. Power to impose taxes by, and funds, of, the Municipalities The Legislature of a State may, by law (a) authorise a Municipality to levy, collect and appropriate such taxes, duties, tolls and fees in accordance with such procedure and subject to such limits; (b) assign to a Municipality such taxes, duties, tolls and fees levied and collected by the State Government for such purposes and subject to such conditions and limits; (c) provide for making, such grants in aid to the Municipalities f...",Unknown,127,3,"taxes, municipalities, funds, municipality, duties, tolls, fees, subject, limits, provide",federal_structure,False,0
243Y,Finance Commission,"243Y. Finance Commission (1) The Finance Commission constituted under article 243 I shall also review the financial position of the Municipalities and make recommendations to the Governor as to (a) the principles which should govern (i) the distribution between the State and the Municipalities of the net proceeds of the taxes, duties, tolls and fees leviable by the State, which may be divided between them under this Part and the allocation between the Municipalities at all levels of their respec...",Unknown,186,5,"municipalities, finance, commission, governor, between, financial, position, proceeds, taxes, duties","directive_principles, federal_structure, governance, emergency",False,0
243Z,"Audit of accounts of Municipalities The Legislature of a State may, by law, make provisions with respect to the maintenance of accounts by the Municip","243Z. Audit of accounts of Municipalities The Legislature of a State may, by law, make provisions with respect to the maintenance of accounts by the Municipalities and the auditing of such accounts",Unknown,32,0,"accounts, municipalities, 243z, audit, legislature, make, provisions, respect, maintenance, auditing",federal_structure,False,0
243Z,A Elections to the Municipalities,"243Z. A Elections to the Municipalities (1) The superintendence, direction and control of the preparation of electoral rolls for, and the conduct of, all elections to the Municipalities shall be vested in the State Election Commission referred to in article 243K (2) Subject to provisions of this Constitution, the Legislature of a State may, by law, make provision with respect to all matters relating to, or in connection with, elections to the Municipalities",Unknown,73,1,"elections, municipalities, 243z, superintendence, direction, control, preparation, electoral, rolls, conduct",federal_structure,False,0
243Z,"B Application to Union territories The Provisions of this Part shall apply to the Union territories and shall, in their application to a Union territory, have effect as if the references to the Governor of a State were references to the Administrator of the Union territory appointed under article 239 and references to the Legislature or the Legislative Assembly of a State were references in relation to a Union territory having a Legislative Assembly, to that Legislative Assembly","243Z. B Application to Union territories The Provisions of this Part shall apply to the Union territories and shall, in their application to a Union territory, have effect as if the references to the Governor of a State were references to the Administrator of the Union territory appointed under article 239 and references to the Legislature or the Legislative Assembly of a State were references in relation to a Union territory having a Legislative Assembly, to that Legislative Assembly: Provided ...",Unknown,116,0,"territory, references, part, legislative, assembly, application, territories, provisions, apply, notification","federal_structure, governance",False,0
243Z,C Part not to apply to certain areas,"243Z. C Part not to apply to certain areas (1) Nothing in this Part shall apply to the Scheduled Areas referred to in Clause (1) , and the tribal areas referred to in Clause (2) , of article 244 (2) Nothing in this part shall be construed to affect the functions and powers of the Darjeeling Gorkha Hill Council constituted under any law for the time being in force for the hill areas of the district of Darjeeling in the State of West Bengal (3) Notwithstanding anything in this Constitution, Parlia...",Unknown,146,1,"areas, part, referred, clause, apply, nothing, scheduled, tribal, darjeeling, hill","federal_structure, amendment",False,0
243Z,D Committee for district planning,"243Z. D Committee for district planning (1) There shall be constituted in every State at the district level a District Planning Committee to consolidate the plans prepared by the Panchayats and the Municipalities in the district and to prepare a draft development plan for the district as a whole (2) The Legislative of a State may, by law, make provision with respect to (a) the composition of the District Planning Committees; (b) the manner in which the seats in such Committees shall be filled: P...",Unknown,266,6,"district, planning, committee, development, committees, every, municipalities, plan, level, panchayats","federal_structure, governance, emergency",False,0
243Z,E Committee for Metropolitan Planning,"243Z. E Committee for Metropolitan Planning (1) There shall be constituted in every Metropolitan, area a Metropolitan Planning Committee to prepare a draft development plan for the Metropolitan area as a whole (2) The Legislature of a State may, by law, make with respect to (a) the composition of the Metropolitan Planning Committees; (b) the manner in which the seats in such Committees shall be filled: Provided that not less than two thirds of the members of such Committee shall be elected by, a...",Unknown,346,9,"metropolitan, area, planning, committee, committees, development, municipalities, panchayats, every, plan","federal_structure, governance, emergency",False,0
243Z,"F Continuance of existing laws and Municipalities Notwithstanding anything in this Part, any provision of any law relating to Municipalities in force in a State immediately before the commencement of the Constitution","243Z. F Continuance of existing laws and Municipalities Notwithstanding anything in this Part, any provision of any law relating to Municipalities in force in a State immediately before the commencement of the Constitution (Seventy fourth Amendment) Act, 1992, which is inconsistent with the provisions of this Part, shall continue to be in force until amended or repealed by a competent Legislature or other competent authority or until the expiration of one year from such commencement, whichever i...",Unknown,133,0,"municipalities, commencement, existing, part, force, immediately, continue, competent, legislature, expiration","federal_structure, governance, amendment",False,0
243Z,"G Bar to interference by courts in electoral matters Notwithstanding anything in this Constitution,","243Z. G Bar to interference by courts in electoral matters Notwithstanding anything in this Constitution, (a) the validity of any law relating to the delimitation of constituencies or the allotment of seats to such constituencies, made or purporting to be made under article 243Z A shall not be called in question in any court; (b) no election to any Municipality shall be called in question expect by an election petition presented to such authority and in such manner as is provided for by or under...",Unknown,101,1,"made, 243z, constituencies, called, question, election, interference, courts, electoral, matters",federal_structure,False,0
244,Administration of Scheduled Areas and Tribal Areas,"244. Administration of Scheduled Areas and Tribal Areas (1) The provisions of the Fifth Schedule shall apply to the administration and control of the Scheduled Areas and Scheduled Tribes in any State other than the States of Assam Meghalaya, Tripura and Mizoram",Unknown,42,0,"scheduled, areas, administration, tribal, provisions, fifth, schedule, apply, control, tribes",federal_structure,False,0
244A,Formation of an autonomous State comprising certain tribal areas in Assam and creation of local Legislature or Council of Ministers or both therefor,"244A. Formation of an autonomous State comprising certain tribal areas in Assam and creation of local Legislature or Council of Ministers or both therefor (1) Notwithstanding anything in this Constitution, Parliament may, by law, form within the State of Assam an autonomous State comprising (whether wholly or in part) all or any of the tribal areas specified in Part I of the table appended to paragraph 20 of the Sixth Schedule and create therefor (a) a body, whether elected or partly nominated a...",Unknown,389,7,"autonomous, assam, legislature, part, clause, amendment, whether, specified, matters, comprising","federal_structure, governance, amendment",False,0
245,Extent of laws made by Parliament and by the Legislatures of States,"245. Extent of laws made by Parliament and by the Legislatures of States (1) Subject to the provisions of this Constitution, Parliament may make laws for the whole or any part of the territory of India, and the Legislature of a State may make laws for the whole or any part of the State (2) No law made by Parliament shall be deemed to be invalid on the ground that it would have extra territorial operation",Unknown,76,1,"laws, made, make, whole, part, extent, legislatures, subject, provisions, territory",federal_structure,False,0
246,Subject matter of laws made by Parliament and by the Legislatures of States,"246. Subject matter of laws made by Parliament and by the Legislatures of States (1) Notwithstanding anything in clauses (2) and (3) , Parliament has exclusive power to make laws with respect to any of the matters enumerated in List I in the Seventh Schedule (in this Constitution referred to as the Union List) (2) Notwithstanding anything in clause (3) , Parliament, and, subject to clause (1) , the Legislature of any State also, have power to make laws with respect to any of the matters enumerat...",Unknown,140,0,"list, matter, laws, notwithstanding, power, make, respect, enumerated, subject, anything",federal_structure,False,0
247,"Power of Parliament to provide for the establishment of certain additional courts Notwithstanding anything in this Chapter, Parliament may by law prov","247. Power of Parliament to provide for the establishment of certain additional courts Notwithstanding anything in this Chapter, Parliament may by law provide for the establishment of any additional courts for the better administration of laws made by Parliament or of any existing laws with respect to a matter enumerated in the Union List",Unknown,54,0,"provide, establishment, additional, courts, laws, power, certain, notwithstanding, anything, chapter",federal_structure,False,0
248,Residuary powers of legislation,248. Residuary powers of legislation (1) Parliament has exclusive power to make any law with respect to any matter not enumerated in the Concurrent List or State List (2) Such power shall include the power of making any law imposing a tax not mentioned in either of those Lists,Unknown,49,1,"power, list, residuary, powers, legislation, exclusive, make, respect, matter, enumerated",federal_structure,False,0
249,Power of Parliament to legislate with respect to a matter in the State List in the national interest,"249. Power of Parliament to legislate with respect to a matter in the State List in the national interest (1) Notwithstanding anything in the foregoing provisions of this Chapter, if the Council of States has declared by resolution supported by not less than two thirds of the members present and voting that it is necessary or expedient in national interest that Parliament should make laws with respect to any matter enumerated in the State List specified in the resolution, it shall be lawful for ...",Unknown,262,0,"resolution, force, clause, period, respect, matter, make, list, national, interest","federal_structure, emergency",False,0
250,Power of Parliament to legislate with respect to any matter in the State List if a Proclamation of Emergency is in operation,"250. Power of Parliament to legislate with respect to any matter in the State List if a Proclamation of Emergency is in operation (1) Notwithstanding anything in this Chapter, Parliament shall, while a Proclamation of Emergency is in operation, have, power to make laws for the whole or any part of the territory of India with respect to any of the matters enumerated in the State List (2) A law made by Parliament which Parliament would not but for the issue of a Proclamation of Emergency have been...",Unknown,135,1,"proclamation, emergency, power, respect, list, operation, make, expiration, period, done","federal_structure, emergency",False,0
251,Inconsistency between laws made by Parliament under Articles 249 and 250 and laws made by the Legislatures of States Nothing in Articles 249 and 250 s,"251. Inconsistency between laws made by Parliament under Articles 249 and 250 and laws made by the Legislatures of States Nothing in Articles 249 and 250 shall restrict the power of the Legislature of a State to make any law which under this Constitution it has power to make, but if any provision of a law made by the legislature of a State is repugnant to any provision of a law made by Parliament which Parliament has under either of the said articles power to make, the law made by Parliament, wh...",Unknown,140,0,"made, legislature, articles, power, make, laws, provision, inconsistency, between, legislatures",federal_structure,False,0
252,Power of Parliament to legislate for two or more States by consent and adoption of such legislation by any other State,"252. Power of Parliament to legislate for two or more States by consent and adoption of such legislation by any other State (1) If it appears to the Legislatures of two or more States to be desirable that any of the matters with respect to which Parliament has no power to make laws for the States except as provided in Articles 249 and 250 should be regulated in such States by Parliament by law, and if resolutions to that effect are passed by all the House of the Legislatures of those States, it ...",Unknown,201,1,"passed, power, more, other, legislatures, house, adopted, houses, legislature, amended","federal_structure, amendment",False,0
253,"Legislation for giving effect to international agreements Notwithstanding anything in the foregoing provisions of this Chapter, Parliament has power t","253. Legislation for giving effect to international agreements Notwithstanding anything in the foregoing provisions of this Chapter, Parliament has power to make any law for the whole or any part of the territory of India for implementing any treaty, agreement or convention with any other country or countries or any decision made at any international conference, association or other body",Unknown,60,0,"international, other, legislation, giving, effect, agreements, notwithstanding, anything, foregoing, provisions","federal_structure, emergency",False,0
254,Inconsistency between laws made by Parliament and laws made by the Legislatures of States,"254. Inconsistency between laws made by Parliament and laws made by the Legislatures of States (1) If any provision of a law made by the Legislature of a State is repugnant to any provision of a law made by Parliament which Parliament is competent to enact, or to any provision of an existing law with respect to one of the matters enumerated in the Concurrent List, then, subject to the provisions of clause (2) , the law made by Parliament, whether passed before or after the law made by the Legisl...",Unknown,243,1,"made, legislature, provision, respect, existing, laws, repugnant, matters, enumerated, concurrent","federal_structure, governance, amendment",False,0
255,"Requirements as to recommendations and previous sanctions to be regarded as matters of procedure only No Act of Parliament or of the legislature of a State and no provision in any such Act, shall be invalid by reason only that some recommendation or previous sanction required by this Constitution was not given, if assent to that Act was given","255. Requirements as to recommendations and previous sanctions to be regarded as matters of procedure only No Act of Parliament or of the legislature of a State and no provision in any such Act, shall be invalid by reason only that some recommendation or previous sanction required by this Constitution was not given, if assent to that Act was given (a) where the recommendation required was that of the Governor, either by the Governor or by the President; (b) where the recommendation required was ...",Unknown,117,3,"recommendation, required, president, previous, only, sanction, given, governor, either, rajpramukh","federal_structure, governance",False,0
256,Obligation of States and the Union The executive power of every State shall be so exercised as to ensure compliance with the laws made by Parliament a,"256. Obligation of States and the Union The executive power of every State shall be so exercised as to ensure compliance with the laws made by Parliament and any existing laws which apply in that State, and the executive power of the Union shall extend to the giving of such directions to a State as may appear to the Government of India to be necessary for that purpose",Unknown,68,0,"executive, power, laws, obligation, every, exercised, ensure, compliance, made, existing","federal_structure, governance",False,0
257,Control of the Union over States in certain cases,"257. Control of the Union over States in certain cases (1) The executive power of every State shall be so exercised as not to impede or prejudice the exercise of the executive power of the Union, and the executive power of the Union shall extend to the giving of such directions to a State as may appear to the Government of India to be necessary for that purpose (2) The executive power of the Union shall also extend to the giving of directions to a State as to the construction and maintenance of ...",Unknown,317,2,"power, executive, extend, giving, directions, india, means, communication, direction, national","fundamental_rights, federal_structure, governance, emergency",False,0
257,A Assistance to States by deployment of armed forces or other forces of the Union Omitted,257. A Assistance to States by deployment of armed forces or other forces of the Union Omitted,Unknown,17,0,"forces, assistance, deployment, armed, other, omitted",federal_structure,False,0
258,"Power of the Union to confer powers, etc, on States in certain cases","258. Power of the Union to confer powers, etc, on States in certain cases (1) Notwithstanding anything in this Constitution, the President may, with the consent of the Governor of a State, entrust either conditionally or unconditionally to that Government or to its officers functions in relation to any matter to which the executive power of the Union extends (2) A law made by Parliament which applies in any State may, notwithstanding that it relates to a matter with respect to which the Legislat...",Unknown,199,2,"powers, duties, power, officers, confer, notwithstanding, matter, respect, upon, authorities","federal_structure, governance",False,0
258,"A Power of the States to entrust functions to the Union Notwithstanding anything in this Constitution, the Governor of a State may, with the consent o","258. A Power of the States to entrust functions to the Union Notwithstanding anything in this Constitution, the Governor of a State may, with the consent of the Governor of India, entrust either conditionally or unconditionally to that Government or to its officers functions in relation to any matter to which the executive power of the State extends",Unknown,58,0,"power, entrust, functions, governor, notwithstanding, anything, consent, india, either, conditionally","federal_structure, governance",False,0
259,Armed Forces in States in Part B of the First Schedule Replaced by the Constitution,"259. Armed Forces in States in Part B of the First Schedule Replaced by the Constitution (Seventh Amendment) Act, 1956, S 29 and Schedule",Unknown,24,0,"schedule, armed, forces, part, first, replaced, seventh, amendment, 1956","federal_structure, amendment",False,0
260,Jurisdiction of the Union in relation to territories outside India The Government of,"260. Jurisdiction of the Union in relation to territories outside India The Government of India may by agreement with the Government of any territory not being part of the territory of India undertake any executive, legislative or judicial functions vested in the Government of such territory, but every such agreement shall be subject to, and governed by, any law relating to the exercise of foreign jurisdiction for the time being in force",Unknown,72,0,"india, territory, jurisdiction, agreement, being, relation, territories, outside, part, undertake","federal_structure, governance",False,0
261,"Public acts, records and judicial proceedings Full faith and credit shall be given throughout the territory of India to public acts, records and judicial proceedings of the Union and of every State","261. Public acts, records and judicial proceedings Full faith and credit shall be given throughout the territory of India to public acts, records and judicial proceedings of the Union and of every State (2) The manner in which and the conditions under which the acts, records and proceedings referred to in clause (1) shall be proved and the effect thereof determined shall be as provided by law made by Parliament (3) Final judgments or orders delivered or passed by civil courts in any part of the ...",Unknown,105,1,"acts, records, proceedings, territory, public, judicial, india, full, faith, credit","federal_structure, governance",False,0
262,Adjudication of disputes relating to waters of inter State rivers or river valleys,"262. Adjudication of disputes relating to waters of inter State rivers or river valleys (1) Parliament may by law provide for the adjudication of any dispute or complaint with respect to the use, distribution or control of the waters of, or in, any inter State river or river valley (2) Notwithstanding anything in this Constitution, Parliament may by law provide that neither the Supreme Court nor any other court shall exercise jurisdiction in respect of any such dispute or complaint as is referre...",Unknown,91,0,"river, adjudication, waters, inter, provide, dispute, complaint, respect, court, disputes",federal_structure,False,0
263,Provisions with respect to an inter State Council If any any time it appears to the President that the public interests would be served by the establishment of a Council charged with the duty of,"263. Provisions with respect to an inter State Council If any any time it appears to the President that the public interests would be served by the establishment of a Council charged with the duty of (a) inquiring into and advising upon disputes which may have arisen between States; (b) investigating and discussing subjects in which some or all of the States, or the Union and one or more of the States, have a common interest; or (c) making recommendations upon any such subject and, in particular...",Unknown,145,3,"council, respect, president, upon, recommendations, subject, finance, provisions, inter, time","directive_principles, federal_structure, governance",False,0
264,"Interpretation In this Part, Finance Commission means a Finance Commission constituted under Article 280","264. Interpretation In this Part, Finance Commission means a Finance Commission constituted under Article 280",Unknown,15,0,"finance, commission, interpretation, part, means, constituted",,False,0
265,Taxes not to be imposed save by authority of law No tax shall be levied or collected except by authority of law,265. Taxes not to be imposed save by authority of law No tax shall be levied or collected except by authority of law,Unknown,23,0,"authority, taxes, imposed, save, levied, collected, except",,False,0
266,Consolidated Funds and public accounts of India and of the States,"266. Consolidated Funds and public accounts of India and of the States (1) Subject to the provisions of Article 267 and to the provisions of this Chapter with respect to the assignment of the whole or part of the net proceeds of certain taxes and duties to States, all revenues received by the Government of India, all loans raised by that Government by the issue of treasury bills, loans or ways and means advances and all moneys received by that Government in repayment of loans shall form one cons...",Unknown,230,2,"consolidated, india, loans, fund, received, public, moneys, entitled, provisions, revenues",federal_structure,False,0
267,Contingency Fund,"267. Contingency Fund (1) Parliament may by law establish a Contingency Fund in the nature of an imprest to be entitled the Contingency Fund of India into which shall be paid from time to time such sums as may be determined by such law, and the said Fund shall be placed at the disposal of the President to enable advances to be made by him out of such Fund for the purposes of meeting unforeseen expenditure pending authorisation of such expenditure by Parliament by law under Article 115 or Article...",Unknown,200,1,"fund, contingency, time, expenditure, establish, nature, imprest, entitled, into, paid","federal_structure, governance",False,0
268,Duties levied by the Union but collected and appropriated by the States,"268. Duties levied by the Union but collected and appropriated by the States (1) Such stamp duties and such duties of excise on medicinal and toilet preparations as are mentioned in the Union List shall be levied by the Government of India but shall be collected (a) in the case where such duties are leviable within any Union territory, by the Government of India, and (b) in other cases, by the States within which such duties are respectively leviable (2) The proceeds in any financial year of any...",Unknown,111,2,"duties, india, leviable, within, levied, collected, appropriated, stamp, excise, medicinal","federal_structure, emergency",False,0
