question,answer,context,article_number,type,clause,keyword
What does clause  of Article 79 state?,There shall be a Parliament for the Union consisting of the President and two Houses: the Council of States and the House of the People.,Article 79: Constitution of Parliament\nThere shall be a Parliament for the Union consisting of the President and two Houses: the Council of States and the House of the People.,79,clause_specific,,
Which article deals with Council of States?,Article 79 (Constitution of Parliament) deals with Council of States.,Article 79: Constitution of Parliament\nThere shall be a Parliament for the Union consisting of the President and two Houses: the Council of States and the House of the People.,79,keyword_based,,Council of States
Which article deals with House of the People?,Article 79 (Constitution of Parliament) deals with House of the People.,Article 79: Constitution of Parliament\nThere shall be a Parliament for the Union consisting of the President and two Houses: the Council of States and the House of the People.,79,keyword_based,,House of the People
Which article deals with Parliament?,Article 79 (Constitution of Parliament) deals with Parliament.,Article 79: Constitution of Parliament\nThere shall be a Parliament for the Union consisting of the President and two Houses: the Council of States and the House of the People.,79,keyword_based,,Parliament
What is Article 80 about?,Article 80 is titled 'Composition of the Council of States' and deals with composition of the council of states.,"Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,general,,
What does clause (1) of Article 80 state?,The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.,"Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,clause_specific,(1),
What does clause (2) of Article 80 state?,Seat allocation in the Council of States shall be as per the Fourth Schedule.,"Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,clause_specific,(2),
What does clause (3) of Article 80 state?,"Nominated members must have special knowledge in literature, science, art, or social service.","Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,clause_specific,(3),
What does clause (4) of Article 80 state?,Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.,"Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,clause_specific,(4),
What does clause (5) of Article 80 state?,Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.,"Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,clause_specific,(5),
Which article deals with representatives?,Article 80 (Composition of the Council of States) deals with representatives.,"Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,keyword_based,,representatives
Which article deals with Legislative Assembly?,Article 80 (Composition of the Council of States) deals with Legislative Assembly.,"Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,keyword_based,,Legislative Assembly
Which article deals with nominated members?,Article 80 (Composition of the Council of States) deals with nominated members.,"Article 80: Composition of the Council of States\n(1) The Council of States shall consist of twelve members nominated by the President and not more than 238 representatives of the States and Union territories.\n(2) Seat allocation in the Council of States shall be as per the Fourth Schedule.\n(3) Nominated members must have special knowledge in literature, science, art, or social service.\n(4) Representatives of States shall be elected by the elected members of the State Legislative Assemblies by proportional representation using single transferable vote.\n(5) Representatives of Union territories shall be chosen in a manner prescribed by Parliament by law.",80,keyword_based,,nominated members
What is Article 81 about?,Article 81 is titled 'Composition of the House of the People' and deals with composition of the house of the people.,"Article 81: Composition of the House of the People\n(1)(a) Not more than five hundred and thirty members shall be chosen by direct election from territorial constituencies in the States.\n(1)(b) Not more than twenty members shall represent the Union territories, chosen as Parliament may by law provide.",81,general,,
What does clause (1)(a) of Article 81 state?,Not more than five hundred and thirty members shall be chosen by direct election from territorial constituencies in the States.,"Article 81: Composition of the House of the People\n(1)(a) Not more than five hundred and thirty members shall be chosen by direct election from territorial constituencies in the States.\n(1)(b) Not more than twenty members shall represent the Union territories, chosen as Parliament may by law provide.",81,clause_specific,(1)(a),
What does clause (1)(b) of Article 81 state?,"Not more than twenty members shall represent the Union territories, chosen as Parliament may by law provide.","Article 81: Composition of the House of the People\n(1)(a) Not more than five hundred and thirty members shall be chosen by direct election from territorial constituencies in the States.\n(1)(b) Not more than twenty members shall represent the Union territories, chosen as Parliament may by law provide.",81,clause_specific,(1)(b),
Which article deals with direct election?,Article 81 (Composition of the House of the People) deals with direct election.,"Article 81: Composition of the House of the People\n(1)(a) Not more than five hundred and thirty members shall be chosen by direct election from territorial constituencies in the States.\n(1)(b) Not more than twenty members shall represent the Union territories, chosen as Parliament may by law provide.",81,keyword_based,,direct election
Which article deals with Union territories?,Article 81 (Composition of the House of the People) deals with Union territories.,"Article 81: Composition of the House of the People\n(1)(a) Not more than five hundred and thirty members shall be chosen by direct election from territorial constituencies in the States.\n(1)(b) Not more than twenty members shall represent the Union territories, chosen as Parliament may by law provide.",81,keyword_based,,Union territories
Which article deals with States?,Article 81 (Composition of the House of the People) deals with States.,"Article 81: Composition of the House of the People\n(1)(a) Not more than five hundred and thirty members shall be chosen by direct election from territorial constituencies in the States.\n(1)(b) Not more than twenty members shall represent the Union territories, chosen as Parliament may by law provide.",81,keyword_based,,States
What is Article 82 about?,Article 82 is titled 'Readjustment after each census' and deals with readjustment after each census.,"Article 82: Readjustment after each census\nUpon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.\nProvided Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.\nProvided further Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.\nProvided also Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.",82,general,,
What does clause  of Article 82 state?,"Upon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.","Article 82: Readjustment after each census\nUpon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.\nProvided Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.\nProvided further Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.\nProvided also Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.",82,clause_specific,,
What does clause Provided of Article 82 state?,Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.,"Article 82: Readjustment after each census\nUpon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.\nProvided Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.\nProvided further Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.\nProvided also Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.",82,clause_specific,Provided,
What does clause Provided further of Article 82 state?,"Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.","Article 82: Readjustment after each census\nUpon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.\nProvided Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.\nProvided further Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.\nProvided also Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.",82,clause_specific,Provided further,
What does clause Provided also of Article 82 state?,"Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.","Article 82: Readjustment after each census\nUpon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.\nProvided Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.\nProvided further Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.\nProvided also Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.",82,clause_specific,Provided also,
Which article deals with dissolution?,Article 82 (Readjustment after each census) deals with dissolution.,"Article 82: Readjustment after each census\nUpon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.\nProvided Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.\nProvided further Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.\nProvided also Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.",82,keyword_based,,dissolution
Which article deals with allocation?,Article 82 (Readjustment after each census) deals with allocation.,"Article 82: Readjustment after each census\nUpon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.\nProvided Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.\nProvided further Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.\nProvided also Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.",82,keyword_based,,allocation
Which article deals with Parliament?,Article 82 (Readjustment after each census) deals with Parliament.,"Article 82: Readjustment after each census\nUpon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine.\nProvided Such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House.\nProvided further Such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment.\nProvided also Until the relevant figures for the first census taken after the year 2026 have been published, it shall not be necessary to readjust- (i) the allocation of seats in the House of the People to the States as readjusted on the basis of the 1971 census; and (ii) the division of each State into territorial constituencies as may be readjusted on the basis of the 2001 census.",82,keyword_based,,Parliament
What is Article 83 about?,Article 83 is titled 'Duration of Houses of Parliament' and deals with duration of houses of parliament.,"Article 83: Duration of Houses of Parliament\n(1) The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law.\n(2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period shall operate as a dissolution of the House.\nProviso The said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate.",83,general,,
What does clause (1) of Article 83 state?,"The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law.","Article 83: Duration of Houses of Parliament\n(1) The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law.\n(2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period shall operate as a dissolution of the House.\nProviso The said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate.",83,clause_specific,(1),
What does clause (2) of Article 83 state?,"The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period shall operate as a dissolution of the House.","Article 83: Duration of Houses of Parliament\n(1) The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law.\n(2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period shall operate as a dissolution of the House.\nProviso The said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate.",83,clause_specific,(2),
What does clause Proviso of Article 83 state?,"The said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate.","Article 83: Duration of Houses of Parliament\n(1) The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law.\n(2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period shall operate as a dissolution of the House.\nProviso The said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate.",83,clause_specific,Proviso,
Which article deals with extension?,Article 83 (Duration of Houses of Parliament) deals with extension.,"Article 83: Duration of Houses of Parliament\n(1) The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law.\n(2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period shall operate as a dissolution of the House.\nProviso The said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate.",83,keyword_based,,extension
Which article deals with retirement?,Article 83 (Duration of Houses of Parliament) deals with retirement.,"Article 83: Duration of Houses of Parliament\n(1) The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law.\n(2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period shall operate as a dissolution of the House.\nProviso The said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate.",83,keyword_based,,retirement
Which article deals with dissolution?,Article 83 (Duration of Houses of Parliament) deals with dissolution.,"Article 83: Duration of Houses of Parliament\n(1) The Council of States shall not be subject to dissolution, but as nearly as possible one-third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law.\n(2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period shall operate as a dissolution of the House.\nProviso The said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate.",83,keyword_based,,dissolution
What is Article 84 about?,Article 84 is titled 'Qualification for membership of Parliament' and deals with qualification for membership of parliament.,"Article 84: Qualification for membership of Parliament\n(a) Is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule.\n(b) Is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty-five years of age.\n(c) Possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament.",84,general,,
What does clause (a) of Article 84 state?,"Is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule.","Article 84: Qualification for membership of Parliament\n(a) Is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule.\n(b) Is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty-five years of age.\n(c) Possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament.",84,clause_specific,(a),
What does clause (b) of Article 84 state?,"Is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty-five years of age.","Article 84: Qualification for membership of Parliament\n(a) Is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule.\n(b) Is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty-five years of age.\n(c) Possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament.",84,clause_specific,(b),
What does clause (c) of Article 84 state?,Possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament.,"Article 84: Qualification for membership of Parliament\n(a) Is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule.\n(b) Is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty-five years of age.\n(c) Possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament.",84,clause_specific,(c),
Which article deals with affirmation?,Article 84 (Qualification for membership of Parliament) deals with affirmation.,"Article 84: Qualification for membership of Parliament\n(a) Is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule.\n(b) Is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty-five years of age.\n(c) Possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament.",84,keyword_based,,affirmation
Which article deals with Third Schedule?,Article 84 (Qualification for membership of Parliament) deals with Third Schedule.,"Article 84: Qualification for membership of Parliament\n(a) Is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule.\n(b) Is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty-five years of age.\n(c) Possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament.",84,keyword_based,,Third Schedule
Which article deals with qualifications?,Article 84 (Qualification for membership of Parliament) deals with qualifications.,"Article 84: Qualification for membership of Parliament\n(a) Is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule.\n(b) Is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty-five years of age.\n(c) Possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament.",84,keyword_based,,qualifications
What is Article 85 about?,"Article 85 is titled 'Sessions of Parliament, prorogation and dissolution' and deals with sessions of parliament, prorogation and dissolution.","Article 85: Sessions of Parliament, prorogation and dissolution\n(1) The President shall from time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session.\n(2) The President may from time to time-(a) prorogue the Houses or either House; (b) dissolve the House of the People.",85,general,,
What does clause (1) of Article 85 state?,"The President shall from time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session.","Article 85: Sessions of Parliament, prorogation and dissolution\n(1) The President shall from time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session.\n(2) The President may from time to time-(a) prorogue the Houses or either House; (b) dissolve the House of the People.",85,clause_specific,(1),
What does clause (2) of Article 85 state?,The President may from time to time-(a) prorogue the Houses or either House; (b) dissolve the House of the People.,"Article 85: Sessions of Parliament, prorogation and dissolution\n(1) The President shall from time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session.\n(2) The President may from time to time-(a) prorogue the Houses or either House; (b) dissolve the House of the People.",85,clause_specific,(2),
Which article deals with House of the People?,"Article 85 (Sessions of Parliament, prorogation and dissolution) deals with House of the People.","Article 85: Sessions of Parliament, prorogation and dissolution\n(1) The President shall from time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session.\n(2) The President may from time to time-(a) prorogue the Houses or either House; (b) dissolve the House of the People.",85,keyword_based,,House of the People
Which article deals with dissolve?,"Article 85 (Sessions of Parliament, prorogation and dissolution) deals with dissolve.","Article 85: Sessions of Parliament, prorogation and dissolution\n(1) The President shall from time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session.\n(2) The President may from time to time-(a) prorogue the Houses or either House; (b) dissolve the House of the People.",85,keyword_based,,dissolve
Which article deals with prorogue?,"Article 85 (Sessions of Parliament, prorogation and dissolution) deals with prorogue.","Article 85: Sessions of Parliament, prorogation and dissolution\n(1) The President shall from time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session.\n(2) The President may from time to time-(a) prorogue the Houses or either House; (b) dissolve the House of the People.",85,keyword_based,,prorogue
What is Article 86 about?,Article 86 is titled 'Right of President to address and send messages to Houses' and deals with right of president to address and send messages to houses.,"Article 86: Right of President to address and send messages to Houses\n(1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members.\n(2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient despatch consider any matter required by the message to be taken into consideration.",86,general,,
What does clause (1) of Article 86 state?,"The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members.","Article 86: Right of President to address and send messages to Houses\n(1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members.\n(2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient despatch consider any matter required by the message to be taken into consideration.",86,clause_specific,(1),
What does clause (2) of Article 86 state?,"The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient despatch consider any matter required by the message to be taken into consideration.","Article 86: Right of President to address and send messages to Houses\n(1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members.\n(2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient despatch consider any matter required by the message to be taken into consideration.",86,clause_specific,(2),
Which article deals with message?,Article 86 (Right of President to address and send messages to Houses) deals with message.,"Article 86: Right of President to address and send messages to Houses\n(1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members.\n(2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient despatch consider any matter required by the message to be taken into consideration.",86,keyword_based,,message
Which article deals with President?,Article 86 (Right of President to address and send messages to Houses) deals with President.,"Article 86: Right of President to address and send messages to Houses\n(1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members.\n(2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient despatch consider any matter required by the message to be taken into consideration.",86,keyword_based,,President
Which article deals with address?,Article 86 (Right of President to address and send messages to Houses) deals with address.,"Article 86: Right of President to address and send messages to Houses\n(1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members.\n(2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient despatch consider any matter required by the message to be taken into consideration.",86,keyword_based,,address
What is Article 87 about?,Article 87 is titled 'Special address by the President' and deals with special address by the president.,Article 87: Special address by the President\n(1) At the commencement of the first session after each general election to the House of the People and at the commencement of the first session of each year the President shall address both Houses of Parliament assembled together and inform Parliament of the causes of its summons.\n(2) Provision shall be made by the rules regulating the procedure of either House for the allotment of time for discussion of the matters referred to in such address.,87,general,,
What does clause (1) of Article 87 state?,At the commencement of the first session after each general election to the House of the People and at the commencement of the first session of each year the President shall address both Houses of Parliament assembled together and inform Parliament of the causes of its summons.,Article 87: Special address by the President\n(1) At the commencement of the first session after each general election to the House of the People and at the commencement of the first session of each year the President shall address both Houses of Parliament assembled together and inform Parliament of the causes of its summons.\n(2) Provision shall be made by the rules regulating the procedure of either House for the allotment of time for discussion of the matters referred to in such address.,87,clause_specific,(1),
What does clause (2) of Article 87 state?,Provision shall be made by the rules regulating the procedure of either House for the allotment of time for discussion of the matters referred to in such address.,Article 87: Special address by the President\n(1) At the commencement of the first session after each general election to the House of the People and at the commencement of the first session of each year the President shall address both Houses of Parliament assembled together and inform Parliament of the causes of its summons.\n(2) Provision shall be made by the rules regulating the procedure of either House for the allotment of time for discussion of the matters referred to in such address.,87,clause_specific,(2),
